idx,State,FIPS
0,Alabama,1.0
1,Alaska,2.0
2,American Samoa,60.0
3,Arizona,4.0
4,Arkansas,5.0
5,California,6.0
6,Colorado,8.0
7,Connecticut,9.0
8,Delaware,10.0
10,District of Columbia,11.0
11,Florida,12.0
12,Georgia,13.0
14,Guam,66.0
15,Hawaii,15.0
16,Idaho,16.0
17,Illinois,17.0
18,Indiana,18.0
19,Iowa,19.0
20,Kansas,20.0
21,Kentucky,21.0
22,Louisiana,22.0
23,Maine,23.0
24,Maryland,24.0
25,Massachusetts,25.0
26,Michigan,26.0
27,Minnesota,27.0
28,Mississippi,28.0
29,Missouri,29.0
30,Montana,30.0
31,Nebraska,31.0
32,Nevada,32.0
33,New Hampshire,33.0
34,New Jersey,34.0
35,New Mexico,35.0
36,New York,36.0
37,North Carolina,37.0
38,North Dakota,38.0
39,Northern Mariana Islands,69.0
40,Ohio,39.0
41,Oklahoma,40.0
42,Oregon,41.0
43,Pennsylvania,42.0
44,Puerto Rico,72.0
45,Rhode Island,44.0
46,South Carolina,45.0
47,South Dakota,46.0
48,Tennessee,47.0
49,Texas,48.0
50,Utah,49.0
51,Vermont,50.0
52,Virgin Islands,78.0
53,Virginia,51.0
54,Washington,53.0
55,West Virginia,54.0
56,Wisconsin,55.0
57,Wyoming,56.0
