Country Name,Country Code,Region
Aruba,ABW,America
Afghanistan,AFG,Eastern Mediterranean
Angola,AGO,Africa
Albania,ALB,Europe
Andorra,AND,Europe
Arab World,ARB,
United Arab Emirates,ARE,Eastern Mediterranean
Argentina,ARG,America
Armenia,ARM,Europe
American Samoa,ASM,Western Pacific
Antigua and Barbuda,ATG,America
Australia,AUS,Western Pacific
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Burundi,BDI,Africa
Belgium,BEL,Europe
Benin,BEN,Africa
Burkina Faso,BFA,Africa
Bangladesh,BGD,South-East Asia
Bulgaria,BGR,Europe
Bahrain,BHR,Eastern Mediterranean
"Bahamas, The",BHS,America
Bosnia and Herzegovina,BIH,Europe
Belarus,BLR,Europe
Belize,BLZ,America
Bermuda,BMU,America
Bolivia,BOL,America
Brazil,BRA,America
Barbados,BRB,America
Brunei,BRN,Western Pacific
Bhutan,BTN,South-East Asia
Botswana,BWA,Africa
Central African Republic,CAF,Africa
Canada,CAN,America
Central Europe and the Baltics,CEB,
Switzerland,CHE,Europe
Channel Islands,CHI,Europe
Chile,CHL,America
China,CHN,Western Pacific
Cote d'Ivoire,CIV,Africa
Cameroon,CMR,Africa
Congo (Kinshasa),COD,Africa
Congo (Brazzaville),COG,Africa
Colombia,COL,America
Comoros,COM,Africa
Cabo Verde,CPV,Africa
Costa Rica,CRI,America
Caribbean small states,CSS,America
Cuba,CUB,America
Curacao,CUW,America
Cayman Islands,CYM,America
Cyprus,CYP,Eastern Mediterranean
Czechia,CZE,Europe
Germany,DEU,Europe
Djibouti,DJI,Eastern Mediterranean
Dominica,DMA,America
Denmark,DNK,Europe
Dominican Republic,DOM,America
Algeria,DZA,Africa
East Asia & Pacific (excluding high income),EAP,
Early-demographic dividend,EAR,
East Asia & Pacific,EAS,
Europe & Central Asia (excluding high income),ECA,
Europe & Central Asia,ECS,
Ecuador,ECU,America
Egypt,EGY,Eastern Mediterranean
Euro area,EMU,
Eritrea,ERI,Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Africa
European Union,EUU,
Fragile and conflict affected situations,FCS,
Finland,FIN,Europe
Fiji,FJI,Western Pacific
France,FRA,Europe
